match_id,date,stage,group,home_team,away_team,venue,city
92,2026-07-05,R16,,WM79,WM80,Estadio Azteca,Mexico City
93,2026-07-06,R16,,WM83,WM84,AT&T Stadium,Arlington
94,2026-07-06,R16,,WM81,WM82,Lumen Field,Seattle
95,2026-07-07,R16,,WM86,WM88,Mercedes-Benz Stadium,Atlanta
96,2026-07-07,R16,,WM85,WM87,BC Place,Vancouver
97,2026-07-09,QF,,WM89,WM90,Gillette Stadium,Foxborough
98,2026-07-10,QF,,WM93,WM94,SoFi Stadium,Inglewood
99,2026-07-11,QF,,WM91,WM92,Hard Rock Stadium,Miami Gardens
100,2026-07-11,QF,,WM95,WM96,Arrowhead Stadium,Kansas City
101,2026-07-14,SF,,WM97,WM98,AT&T Stadium,Arlington
102,2026-07-15,SF,,WM99,WM100,Mercedes-Benz Stadium,Atlanta
103,2026-07-18,third_place,,LM101,LM102,Hard Rock Stadium,Miami Gardens
104,2026-07-19,final,,WM101,WM102,MetLife Stadium,East Rutherford
